
─── Fold 0/92 ───
[fold 0] epoch   10 | train  121.56 | val  122.02 | rotLSD  23.47
[fold 1] epoch  320 | train    0.83 | val    1.11 | rotLSD   0.58
[fold 1] epoch  330 | train    0.82 | val    1.10 | rotLSD   0.58
[fold 1] epoch  340 | train    0.82 | val    1.08 | rotLSD   0.55
[fold 1] epoch  350 | train    0.81 | val    1.08 | rotLSD   0.56
[fold 1] epoch  360 | train    0.80 | val    1.12 | rotLSD   0.58
[fold 1] epoch  370 | train    0.80 | val    1.10 | rotLSD   0.58
[fold 1] epoch  380 | train    0.79 | val    1.08 | rotLSD   0.55
[fold 1] epoch  390 | train    0.78 | val    1.10 | rotLSD   0.57
[fold 1] epoch  400 | train    0.78 | val    1.14 | rotLSD   0.59
[fold 1] epoch  410 | train    0.78 | val    1.11 | rotLSD   0.59
[fold 1] epoch  420 | train    0.77 | val    1.10 | rotLSD   0.56
[fold 1] epoch  430 | train    0.77 | val    1.18 | rotLSD   0.57
[fold 1] epoch  440 | train    0.77 | val    1.15 | rotLSD   0.57
[fold 1] epoch  450 | train    0.76 | val    1.13 | rotLSD   0.56
[fold 1] epoch  460 | train    0.76 | val    1.13 | rotLSD   0.58
[fold 1] epoch  470 | train    0.76 | val    1.20 | rotLSD   0.58
[fold 1] epoch  480 | train    0.75 | val    1.18 | rotLSD   0.58
[fold 1] epoch  490 | train    0.75 | val    1.18 | rotLSD   0.58
[fold 1] epoch  500 | train    0.75 | val    1.18 | rotLSD   0.57
[fold 1] epoch  510 | train    0.75 | val    1.22 | rotLSD   0.60
[fold 1] epoch  520 | train    0.74 | val    1.22 | rotLSD   0.61
[fold 1] epoch  530 | train    0.74 | val    1.24 | rotLSD   0.59
[fold 1] epoch  540 | train    0.74 | val    1.22 | rotLSD   0.61
[fold 1] epoch  550 | train    0.74 | val    1.24 | rotLSD   0.59
[fold 1] epoch  560 | train    0.73 | val    1.27 | rotLSD   0.61
