
─── Fold 0/92 ───
[fold 1] epoch  350 | train    0.98 | val    1.04 | rotLSD   0.56
[fold 1] epoch  360 | train    0.99 | val    1.15 | rotLSD   0.61
[fold 1] epoch  370 | train    0.99 | val    1.00 | rotLSD   0.58
[fold 1] epoch  380 | train    0.97 | val    1.00 | rotLSD   0.57
[fold 1] epoch  390 | train    0.97 | val    1.04 | rotLSD   0.59
[fold 1] epoch  400 | train    0.97 | val    0.99 | rotLSD   0.53
[fold 1] epoch  410 | train    0.96 | val    0.99 | rotLSD   0.56
[fold 1] epoch  420 | train    0.95 | val    1.00 | rotLSD   0.58
[fold 1] epoch  430 | train    0.96 | val    0.99 | rotLSD   0.56
[fold 1] epoch  440 | train    0.96 | val    1.00 | rotLSD   0.56
[fold 1] epoch  450 | train    0.95 | val    0.99 | rotLSD   0.55
[fold 1] epoch  460 | train    0.95 | val    0.99 | rotLSD   0.58
[fold 1] epoch  470 | train    0.95 | val    0.96 | rotLSD   0.54
[fold 1] epoch  480 | train    0.95 | val    0.98 | rotLSD   0.58
[fold 1] epoch  490 | train    0.93 | val    1.00 | rotLSD   0.56
[fold 1] epoch  500 | train    0.93 | val    0.97 | rotLSD   0.55
[fold 1] epoch  510 | train    0.93 | val    0.95 | rotLSD   0.54
[fold 1] epoch  520 | train    0.94 | val    1.01 | rotLSD   0.59
[fold 1] epoch  530 | train    0.94 | val    0.97 | rotLSD   0.54
[fold 1] epoch  540 | train    0.92 | val    0.96 | rotLSD   0.54
[fold 1] epoch  550 | train    0.93 | val    0.95 | rotLSD   0.54
[fold 1] epoch  560 | train    0.92 | val    0.96 | rotLSD   0.55
[fold 1] epoch  570 | train    0.93 | val    0.96 | rotLSD   0.54
[fold 1] epoch  580 | train    0.92 | val    0.97 | rotLSD   0.57
[fold 1] epoch  590 | train    0.92 | val    0.96 | rotLSD   0.55
[fold 1] epoch  600 | train    0.92 | val    0.96 | rotLSD   0.54
[fold 1] epoch  610 | train    0.91 | val    1.02 | rotLSD   0.56
[fold 1] epoch  620 | train    0.91 | val    0.96 | rotLSD   0.53
[fold 1] epoch  630 | train    0.91 | val    0.96 | rotLSD   0.56
[fold 1] epoch  640 | train    0.91 | val    0.93 | rotLSD   0.56
[fold 1] epoch  650 | train    0.90 | val    0.96 | rotLSD   0.54
[fold 1] epoch  660 | train    0.92 | val    0.97 | rotLSD   0.55
[fold 1] epoch  670 | train    0.91 | val    0.94 | rotLSD   0.56
[fold 1] epoch  680 | train    0.91 | val    0.95 | rotLSD   0.53
[fold 1] epoch  690 | train    0.90 | val    0.96 | rotLSD   0.54
[fold 1] epoch  700 | train    0.91 | val    0.95 | rotLSD   0.55
[fold 1] epoch  710 | train    0.90 | val    0.94 | rotLSD   0.55
[fold 1] epoch  720 | train    0.90 | val    0.95 | rotLSD   0.56
[fold 1] epoch  730 | train    0.90 | val    0.92 | rotLSD   0.53
[fold 1] epoch  740 | train    0.90 | val    0.95 | rotLSD   0.54
[fold 1] epoch  750 | train    0.91 | val    0.92 | rotLSD   0.53
[fold 1] epoch  760 | train    0.89 | val    0.94 | rotLSD   0.52
[fold 1] epoch  770 | train    0.90 | val    0.94 | rotLSD   0.54
[fold 1] epoch  780 | train    0.90 | val    0.94 | rotLSD   0.50
[fold 1] epoch  790 | train    0.90 | val    0.94 | rotLSD   0.54
[fold 1] epoch  800 | train    0.90 | val    0.94 | rotLSD   0.55
[fold 1] epoch  810 | train    0.91 | val    0.94 | rotLSD   0.55
[fold 1] epoch  820 | train    0.90 | val    0.94 | rotLSD   0.54
[fold 1] epoch  830 | train    0.89 | val    0.94 | rotLSD   0.53
[fold 1] epoch  840 | train    0.90 | val    0.94 | rotLSD   0.54
[fold 1] epoch  850 | train    0.90 | val    0.94 | rotLSD   0.56
[fold 1] epoch  860 | train    0.89 | val    0.94 | rotLSD   0.53
[fold 1] epoch  870 | train    0.89 | val    0.94 | rotLSD   0.55
